Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-04-28,23.9,24.04,23.69,23.99,16595900.0,0.0,1.0,9.402648134601314,9.457726408193121,9.320030724213606,9.438055596196048,16595900.0
2010-04-29,24.0,24.31,23.77,24.24,16774400.0,0.0,1.0,9.441989758595463,9.563948792977321,9.351504023408923,9.536409656181418,16774400.0
2010-04-30,24.15,24.35,23.77,23.78,15286100.0,0.0,1.0,9.501002194586684,9.57968544257498,9.351504023408923,9.355438185808339,15286100.0
2010-05-03,23.65,24.1,23.62,23.91,10931800.0,0.0,1.0,9.304294074615946,9.48133138258961,9.292491587417702,9.40658229700073,10931800.0
2010-05-04,23.22,23.27,22.46,23.08,37346000.0,0.0,1.0,9.13512509144111,9.154795903438185,8.836128749085587,9.080046817849302,37346000.0
2010-05-05,23.08,23.2501,22.57,22.66,25738700.0,0.0,1.0,9.080046817849302,9.146966920263349,8.87940453547915,8.914811997073883,25738700.0
2010-05-06,22.6,23.15,20.56,22.27,30180700.0,0.0,1.0,8.891207022677396,9.107585954645206,8.088637893196779,8.761379663496706,30180700.0
2010-05-07,22.15,22.7,21.25,21.48,30120700.0,0.0,1.0,8.71416971470373,8.930548646671541,8.3600950987564,8.45058083394294,30120700.0
2010-05-10,22.63,22.83,22.12,22.33,19987400.0,0.0,1.0,8.903009509875638,8.981692757863934,8.702367227505485,8.784984637893194,19987400.0
2010-05-11,22.16,22.8,21.97,22.38,13011300.0,0.0,1.0,8.718103877103145,8.96989027066569,8.643354791514263,8.80465544989027,13011300.0
2010-05-12,22.53,22.6,22.2301,22.51,11157800.0,0.0,1.0,8.86366788588149,8.891207022677396,8.745682355523043,8.855799561082662,11157800.0
2010-05-13,23.16,23.31,22.66,22.68,20104200.0,0.0,1.0,9.111520117044622,9.170532553035843,8.914811997073883,8.922680321872713,20104200.0
2010-05-14,22.61,22.65,22.08,22.25,17582300.0,0.0,1.0,8.89514118507681,8.910877834674467,8.686630577907826,8.753511338697876,17582300.0
2010-05-17,22.16,22.54,21.99,22.51,14680800.0,0.0,1.0,8.718103877103145,8.867602048280904,8.651223116313092,8.855799561082662,14680800.0
2010-05-18,22.63,22.77,22.13,22.17,16993900.0,0.0,1.0,8.903009509875638,8.958087783467445,8.7063013899049,8.722038039502559,16993900.0
2010-05-19,22.0,22.12,21.475,21.64,31287900.0,0.0,1.0,8.655157278712508,8.702367227505485,8.448613752743233,8.513527432333577,31287900.0
2010-05-20,21.1425,21.4575,20.4,20.81,34368800.0,0.0,1.0,8.31780285296269,8.441728968544256,8.025691294806142,8.18699195318215,34368800.0
2010-05-21,20.31,21.48,20.31,21.42,28978900.0,0.0,1.0,7.99028383321141,8.45058083394294,7.99028383321141,8.42697585954645,28978900.0
2010-05-24,21.33,21.82,21.12,21.36,20470000.0,0.0,1.0,8.391568397951717,8.584342355523042,8.308950987564007,8.403370885149961,20470000.0
2010-05-25,20.75,21.61,20.56,21.59,24836900.0,0.0,1.0,8.163386978785661,8.501724945135331,8.088637893196779,8.493856620336501,24836900.0
2010-05-26,21.73,22.04,21.3,21.38,17921500.0,0.0,1.0,8.548934893928308,8.670893928310166,8.379765910753473,8.411239209948791,17921500.0
2010-05-27,21.77,21.92,21.59,21.91,13985600.0,0.0,1.0,8.564671543525968,8.62368397951719,8.493856620336501,8.619749817117775,13985600.0
2010-05-28,21.94,21.95,21.14,21.41,14836100.0,0.0,1.0,8.631552304316019,8.635486466715433,8.316819312362837,8.423041697147037,14836100.0
2010-06-01,21.02,21.55,20.92,20.96,11842800.0,0.0,1.0,8.26960936356986,8.478119970738843,8.230267739575712,8.246004389173372,11842800.0
2010-06-02,21.03,21.26,20.7,21.25,12393700.0,0.0,1.0,8.273543525969275,8.364029261155816,8.143716166788586,8.3600950987564,12393700.0
2010-06-03,21.52,22.18,21.21,22.18,23873100.0,0.0,1.0,8.466317483540598,8.725972201901973,8.34435844915874,8.725972201901973,23873100.0
2010-06-04,21.95,22.84,21.9,21.99,56354700.0,0.0,1.0,8.635486466715433,8.985626920263348,8.615815654718359,8.651223116313092,56354700.0
2010-06-07,22.0,22.29,21.41,21.55,26835800.0,0.0,1.0,8.655157278712508,8.769247988295536,8.423041697147037,8.478119970738843,26835800.0
2010-06-08,21.52,21.72,20.93,21.69,28858800.0,0.0,1.0,8.466317483540598,8.545000731528894,8.234201901975126,8.53319824433065,28858800.0
2010-06-09,21.87,22.37,21.72,21.78,22274100.0,0.0,1.0,8.604013167520115,8.800721287490855,8.545000731528894,8.568605705925384,22274100.0
2010-06-10,21.95,22.38,21.95,22.28,17058700.0,0.0,1.0,8.635486466715433,8.80465544989027,8.635486466715433,8.765313825896122,17058700.0
2010-06-11,22.0,22.69,21.99,22.65,18056800.0,0.0,1.0,8.655157278712508,8.926614484272127,8.651223116313092,8.910877834674467,18056800.0
2010-06-14,22.8,22.92,22.1573,22.21,13381600.0,0.0,1.0,8.96989027066569,9.017100219458667,8.717041653255302,8.737774689100219,13381600.0
2010-06-15,22.3,22.42,22.0,22.39,19528600.0,0.0,1.0,8.773182150694952,8.820392099487929,8.655157278712508,8.808589612289683,19528600.0
2010-06-16,22.29,22.42,22.01,22.13,16992300.0,0.0,1.0,8.769247988295536,8.820392099487929,8.659091441111922,8.7063013899049,16992300.0
2010-06-17,22.35,22.35,21.905,22.1,9800000.0,0.0,1.0,8.792852962692026,8.792852962692026,8.617782735918068,8.694498902706655,9800000.0
2010-06-18,22.16,22.39,22.03,22.16,13885600.0,0.0,1.0,8.718103877103145,8.808589612289683,8.666959765910752,8.718103877103145,13885600.0
2010-06-21,22.44,22.63,21.7,21.87,13864500.0,0.0,1.0,8.828260424286759,8.903009509875638,8.537132406730064,8.604013167520115,13864500.0
2010-06-22,22.015,22.1,21.53,21.56,10205200.0,0.0,1.0,8.66105852231163,8.694498902706655,8.470251645940014,8.482054133138258,10205200.0
2010-06-23,21.54,21.75,21.18,21.34,11590900.0,0.0,1.0,8.474185808339428,8.556803218727138,8.332555961960496,8.395502560351133,11590900.0
2010-06-24,21.21,21.37,20.61,20.86,16023600.0,0.0,1.0,8.34435844915874,8.407305047549377,8.108308705193853,8.206662765179223,16023600.0
2010-06-25,20.91,21.11,20.54,20.9525,16634900.0,0.0,1.0,8.226333577176296,8.305016825164593,8.08076956839795,8.24305376737381,16634900.0
2010-06-28,20.87,20.97,20.43,20.71,17898900.0,0.0,1.0,8.210596927578639,8.249938551572786,8.037493782004388,8.147650329188002,17898900.0
2010-06-29,20.3,20.36,19.54,19.69,31410300.0,0.0,1.0,7.986349670811996,8.009954645208484,7.687353328456473,7.746365764447694,31410300.0
2010-06-30,19.65,20.15,19.56,19.61,20660400.0,0.0,1.0,7.730629114850035,7.927337234820773,7.6952216532553015,7.714892465252376,20660400.0
2010-07-01,19.6,19.77,19.06,19.64,26007400.0,0.0,1.0,7.710958302852962,7.777839063643012,7.498513533284563,7.726694952450621,26007400.0
2010-07-02,19.76,19.76,19.25,19.26,16058900.0,0.0,1.0,7.773904901243599,7.773904901243599,7.573262618873444,7.57719678127286,16058900.0
2010-07-06,19.64,19.8,19.17,19.35,15157300.0,0.0,1.0,7.726694952450621,7.7896415508412575,7.541789319678126,7.612604242867593,15157300.0
2010-07-07,19.27,19.84,19.16,19.81,16551400.0,0.0,1.0,7.581130943672274,7.805378200438916,7.537855157278711,7.7935757132406716,16551400.0
2010-07-08,19.87,20.2,19.64,19.89,16459400.0,0.0,1.0,7.817180687637161,7.947008046817848,7.726694952450621,7.82504901243599,16459400.0
2010-07-09,19.94,20.31,19.73,20.29,15944800.0,0.0,1.0,7.8447198244330645,7.99028383321141,7.762102414045353,7.982415508412581,15944800.0
2010-07-12,20.18,20.44,20.06,20.22,11024000.0,0.0,1.0,7.939139722019018,8.041427944403804,7.891929773226041,7.954876371616677,11024000.0
2010-07-13,20.45,21.13,20.45,21.01,16013200.0,0.0,1.0,8.045362106803218,8.31288514996342,8.045362106803218,8.265675201170446,16013200.0
2010-07-14,21.02,21.46,20.69,21.109,15657400.0,0.0,1.0,8.26960936356986,8.44271250914411,8.139782004389172,8.304623408924652,15657400.0
2010-07-15,21.24,21.25,20.68,21.03,15340600.0,0.0,1.0,8.356160936356984,8.3600950987564,8.135847841989756,8.273543525969275,15340600.0
2010-07-16,21.04,21.08,20.06,20.09,18668900.0,0.0,1.0,8.27747768836869,8.293214337966347,7.891929773226041,7.9037322604242854,18668900.0
2010-07-19,20.17,20.54,20.12,20.4,9675800.0,0.0,1.0,7.935205559619604,8.08076956839795,7.91553474762253,8.025691294806142,9675800.0
2010-07-20,20.04,20.85,19.92,20.79,15495200.0,0.0,1.0,7.884061448427211,8.202728602779809,7.836851499634235,8.17912362838332,15495200.0
2010-07-21,20.71,20.95,20.03,20.17,23915100.0,0.0,1.0,8.147650329188002,8.242070226773956,7.880127286027797,7.935205559619604,23915100.0
2010-07-22,21.1,21.54,20.78,20.94,25058900.0,0.0,1.0,8.301082662765179,8.474185808339428,8.175189465983905,8.238136064374542,25058900.0
2010-07-23,20.83,21.11,20.48,21.09,12857600.0,0.0,1.0,8.194860277980979,8.305016825164593,8.057164594001462,8.297148500365763,12857600.0
2010-07-26,20.99,21.14,20.86,21.14,7764500.0,0.0,1.0,8.257806876371614,8.316819312362837,8.206662765179223,8.316819312362837,7764500.0
2010-07-27,21.29,21.31,20.89,21.04,9035600.0,0.0,1.0,8.375831748354058,8.383700073152887,8.218465252377468,8.27747768836869,9035600.0
2010-07-28,20.94,21.09,20.82,21.04,9014600.0,0.0,1.0,8.238136064374542,8.297148500365763,8.190926115581565,8.27747768836869,9014600.0
2010-07-29,21.02,21.2,20.55,20.77,11882000.0,0.0,1.0,8.26960936356986,8.340424286759326,8.084703730797365,8.17125530358449,11882000.0
2010-07-30,20.64,21.14,20.5333,20.91,10253600.0,0.0,1.0,8.120111192392098,8.316819312362837,8.078133679590342,8.226333577176296,10253600.0
2010-08-02,21.28,21.58,21.18,21.46,10375700.0,0.0,1.0,8.371897585954644,8.489922457937086,8.332555961960496,8.44271250914411,10375700.0
2010-08-03,21.38,21.51,20.92,20.97,12376800.0,0.0,1.0,8.411239209948791,8.462383321141184,8.230267739575712,8.249938551572786,12376800.0
2010-08-04,21.03,21.22,20.91,21.1,12374500.0,0.0,1.0,8.273543525969275,8.348292611558154,8.226333577176296,8.301082662765179,12374500.0
2010-08-05,21.0,21.11,20.7,21.07,7861800.0,0.0,1.0,8.26174103877103,8.305016825164593,8.143716166788586,8.289280175566933,7861800.0
2010-08-06,20.75,21.47,20.71,21.45,11845000.0,0.0,1.0,8.163386978785661,8.446646671543524,8.147650329188002,8.438778346744694,11845000.0
2010-08-09,21.855,22.625,21.72,21.98,22288900.0,0.0,1.0,8.598111923920994,8.90104242867593,8.545000731528894,8.647288953913678,22288900.0
2010-08-10,21.96,22.1,21.63,21.9125,12552700.0,0.0,1.0,8.639420629114849,8.694498902706655,8.509593269934161,8.62073335771763,12552700.0
2010-08-11,21.49,21.54,21.21,21.25,10539700.0,0.0,1.0,8.454514996342354,8.474185808339428,8.34435844915874,8.3600950987564,10539700.0
2010-08-12,21.4,21.86,21.33,21.59,16197700.0,0.0,1.0,8.41910753474762,8.600079005120701,8.391568397951717,8.493856620336501,16197700.0
2010-08-13,21.4,21.72,21.32,21.5,12565600.0,0.0,1.0,8.41910753474762,8.545000731528894,8.387634235552303,8.458449158741768,12565600.0
2010-08-16,21.46,22.5,21.4,22.05,26313300.0,0.0,1.0,8.44271250914411,8.851865398683247,8.41910753474762,8.674828090709582,26313300.0
2010-08-17,22.08,22.47,22.08,22.35,19289100.0,0.0,1.0,8.686630577907826,8.840062911485001,8.686630577907826,8.792852962692026,19289100.0
2010-08-18,22.38,22.8625,22.1375,22.74,17017900.0,0.0,1.0,8.80465544989027,8.994478785662032,8.70925201170446,8.9462852962692,17017900.0
2010-08-19,22.55,23.25,22.51,23.1325,25215000.0,0.0,1.0,8.87153621068032,9.146927578639355,8.855799561082662,9.10070117044623,25215000.0
2010-08-20,22.95,23.45,22.93,23.37,20573500.0,0.0,1.0,9.028902706656911,9.22561082662765,9.021034381858081,9.194137527432332,20573500.0
2010-08-23,23.43,23.61,23.215,23.27,14183500.0,0.0,1.0,9.21774250182882,9.288557425018286,9.133158010241402,9.154795903438185,14183500.0
2010-08-24,23.02,23.2901,22.78,22.87,15684700.0,0.0,1.0,9.056441843452815,9.162703569861007,8.96202194586686,8.997429407461594,15684700.0
2010-08-25,22.72,23.29,22.65,23.16,15976100.0,0.0,1.0,8.938416971470371,9.162664228237013,8.910877834674467,9.111520117044622,15976100.0
2010-08-26,23.25,23.46,22.72,22.73,22594100.0,0.0,1.0,9.146927578639355,9.229544989027065,8.938416971470371,8.942351133869787,22594100.0
2010-08-27,22.84,23.2,22.37,23.18,18033400.0,0.0,1.0,8.985626920263348,9.127256766642281,8.800721287490855,9.119388441843451,18033400.0
2010-08-30,23.2,23.51,23.11,23.13,14138200.0,0.0,1.0,9.127256766642281,9.249215801024139,9.091849305047548,9.099717629846378,14138200.0
2010-08-31,23.0,23.26,22.74,23.23,16789000.0,0.0,1.0,9.048573518653985,9.15086174103877,8.9462852962692,9.139059253840525,16789000.0
2010-09-01,23.24,24.04,23.22,24.03,21487900.0,0.0,1.0,9.142993416239939,9.457726408193121,9.13512509144111,9.453792245793707,21487900.0
2010-09-02,23.92,24.07,23.76,24.06,14174500.0,0.0,1.0,9.410516459400146,9.469528895391367,9.347569861009509,9.465594732991951,14174500.0
2010-09-03,24.25,24.48,23.95,24.13,16995400.0,0.0,1.0,9.540343818580832,9.630829553767372,9.422318946598388,9.493133869787854,16995400.0
